theme_group,theme,path,indicator_key,name,full_name,unit,n_years,first_year,last_year,n_regions,max_region_level,completeness,score
education_health,Santé,Santé > Infrastructue sanitaire du secteur privé > Officines > Officines : Catégorie .A ( de jour ),22302016,Officines : Catégorie .A ( de jour ),Nombre de Pharmacies de jours (classe A ),Nombre,27,1998,2024,31,governorate,1.0,0.7451
education_health,Santé,Santé > Infrastructue sanitaire du secteur privé > Officines > Officines : Catégorie .B ( de nuit ),22302116,Officines : Catégorie .B ( de nuit ),Nombre de Pharmacies nuit (classe B ),Nombre,27,1998,2024,31,governorate,1.0,0.7451
education_health,Santé,Santé > Personnel médical > Personnel paramédical > Techniciens supérieurs,22302516,Techniciens supérieurs,Nombre de techniciens supérieurs,Nombre,27,1998,2024,31,governorate,1.0,0.7451
education_health,Santé,Santé > Personnel médical > Personnel paramédical > Infermiers,22302616,Infermiers,Nombre d'infermiers,Nombre,27,1998,2024,31,governorate,1.0,0.7451
education_health,Santé,"Santé > Infrastructue sanitaire du secteur public > Instituts, centres et Hôpitaux spécialisés",22301316,"Instituts, centres et Hôpitaux spécialisés",Nombre d'instituts et de centres publics spécialisés,Nombre,26,1998,2024,31,governorate,1.0,0.7364
education_health,Santé,Santé > Infrastructue sanitaire du secteur privé > Cabinets de libre pratique,22301716,Cabinets de libre pratique,Nombre de canbinet de libres pratiques,Nombre,26,1998,2024,31,governorate,1.0,0.7364
education_health,Santé,Santé > Personnel médical > Medecins > Médecins de la Santé publique,22302316,Médecins de la Santé publique,Nombre de médecins de santé publique,Nombre,26,1998,2024,31,governorate,1.0,0.7364
education_health,Santé,Santé > Personnel médical > Medecins > Médecins de Libres pratiques,22302416,Médecins de Libres pratiques,Nombre de médecins de libres pratiques,Nombre,25,1998,2024,31,governorate,1.0,0.7276
education_health,Santé,Santé > Infrastructue sanitaire du secteur privé > Cabinets Dentaires,22301916,Cabinets Dentaires,Nombre de cabinets dentaires privées,Nombre,24,1998,2024,31,governorate,1.0,0.7189
education_health,Santé,Santé > Infrastructue sanitaire du secteur privé > Officines > Grossistes répartiteurs,22302216,Grossistes répartiteurs,Nombre grossistes répartiteurs de médicaments,Nombre,24,1998,2024,31,governorate,1.0,0.7189
education_health,Santé,Santé > Indicateurs généraux de santé > Nombre d'habitants pour un médecin,27331616,Nombre d'habitants pour un médecin,Le nombre d'habitants pour un médecin,Nombre,34,1990,2024,1,national,1.0,0.6814
education_health,Santé,Santé > Indicateurs généraux de santé > Nombre d'habitants pour un pharmacien,27331816,Nombre d'habitants pour un pharmacien,Le nombre d'habitants pour un pharmacien,Nombre,34,1990,2024,1,national,1.0,0.6814
education_health,Santé,Santé > Indicateurs généraux de santé > Nombre d'habitants pour un para-médical,27331916,Nombre d'habitants pour un para-médical,Le nombre d'habitants pour un paramédical,Nombre,34,1990,2024,1,national,1.0,0.6814
education_health,Santé,Santé > Activité de la santé de la reproduction et de la planification familiale > Services de santé de la reproduction > Actes Santé de la Reproduction,22302716,Actes Santé de la Reproduction,Services de la santé de la reproduction offerts,Nombre,20,2004,2023,31,governorate,1.0,0.6758
education_health,Santé,Santé > Activité de la santé de la reproduction et de la planification familiale > Services de santé de la reproduction > Actes Postnatal,22302816,Actes Postnatal,Nombre de consultations post-natales,Nombre,20,2004,2023,31,governorate,1.0,0.6758
